area_type,availability,location,size,society,total_sqft,bath,balcony,price,bedrooms,price_per_sqft
Built-up  Area,Ready To Move,Marathahalli,2 BHK,Kames S,1314.0,2.0,3.0,55.0,2.0,0.04185692541856925
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,945.0,2.0,1.0,33.0,2.0,0.03492063492063492
Built-up  Area,Ready To Move,Nehru Nagar,3 BHK,Undge T,1374.0,3.0,2.0,72.0,3.0,0.05240174672489083
Built-up  Area,19-Jan,Kanakpura Road,3 BHK,PrityFa,1603.0,3.0,3.0,113.0,3.0,0.07049282595134124
Built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1230.0,2.0,2.0,52.0,3.0,0.04227642276422764
Super built-up  Area,Ready To Move, Basavangudi,1 RK,GrrvaGr,670.0,1.0,1.0,50.0,1.0,0.07462686567164178
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Ahriaup,1864.0,3.0,2.0,105.0,4.0,0.05633047210300429
Built-up  Area,18-Jan,Hosa Road,3 Bedroom,Gllas V,2500.0,3.0,2.0,100.0,3.0,0.04
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,DScon S,1625.0,2.0,2.0,54.0,3.0,0.03323076923076923
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1186.0,2.0,3.0,55.0,2.0,0.046374367622259695
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770.0,1.0,1.0,39.9,2.0,0.05181818181818182
Super built-up  Area,18-Feb,Varthur,2 BHK,HioraTr,1085.0,2.0,1.0,45.0,2.0,0.041474654377880185
Super built-up  Area,Ready To Move,Dairy Circle,4 BHK,Soeurri,3754.0,6.0,2.0,480.0,4.0,0.12786361214704314
Super built-up  Area,Ready To Move,Dodsworth Layout,3 BHK,Ciques ,1893.0,3.0,2.0,115.0,3.0,0.06075013206550449
Plot  Area,Ready To Move,Thurahalli,4 Bedroom,GrrvaGr,600.0,3.0,2.0,65.0,4.0,0.10833333333333334
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,AnentAp,1496.0,2.0,3.0,78.0,3.0,0.05213903743315508
Super built-up  Area,18-Jul,Chandapura,3 BHK,SunceEs,1305.0,3.0,1.0,33.28,3.0,0.025501915708812262
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,Shiaa S,1550.0,2.0,2.0,82.0,3.0,0.05290322580645161
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,GrrvaGr,1200.0,2.0,1.0,58.17,3.0,0.048475000000000004
Super built-up  Area,20-Jan,Badavala Nagar,3 BHK,DNncasa,1494.0,2.0,2.0,94.55,3.0,0.06328647925033468
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,SJmesst,1286.0,2.0,2.0,69.0,2.0,0.053654743390357695
Plot  Area,Ready To Move,"Banashankari 6th stage , 2nd block",3 Bedroom,GrrvaGr,600.0,4.0,1.0,100.0,3.0,0.16666666666666666
Super built-up  Area,Ready To Move,Hebbal,3 BHK,MVkleiw,1860.0,3.0,2.0,95.0,3.0,0.051075268817204304
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1243.0,2.0,2.0,45.0,2.0,0.036202735317779566
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Stlomg ,1200.0,2.0,2.0,75.0,2.0,0.0625
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Peles P,1044.0,2.0,2.0,32.0,2.0,0.03065134099616858
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,SrncyRe,1040.0,2.0,1.0,41.59,2.0,0.03999038461538462
Super built-up  Area,18-Jun,8th Phase JP Nagar,2 BHK,GrrvaGr,1125.0,2.0,2.0,36.94,2.0,0.032835555555555555
Super built-up  Area,19-Jul,Cunningham Road,3 BHK,GrrvaGr,3489.0,3.0,1.0,662.0,3.0,0.18973918028088277
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Prldsri,1278.0,2.0,2.0,59.0,3.0,0.04616588419405321
Super built-up  Area,Ready To Move,Chelekare,6 BHK,GrrvaGr,2400.0,6.0,2.0,98.0,6.0,0.04083333333333333
Super built-up  Area,Ready To Move,Belatur,2 BHK,ViaarSa,1250.0,2.0,1.0,43.0,2.0,0.0344
Plot  Area,Ready To Move,Vijayanagar,5 Bedroom,GrrvaGr,2400.0,6.0,3.0,125.0,5.0,0.052083333333333336
Plot  Area,Ready To Move,KR Puram,5 Bedroom,Henue A,4166.0,5.0,2.0,560.0,5.0,0.13442150744119058
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,GrrvaGr,1210.0,2.0,2.0,75.0,2.0,0.06198347107438017
Super built-up  Area,Ready To Move,8th Phase JP Nagar,4 BHK,GrrvaGr,1200.0,3.0,2.0,110.0,4.0,0.09166666666666666
Super built-up  Area,18-Apr,Sarjapur  Road,3 BHK,AsastDe,1157.0,2.0,1.0,57.84,3.0,0.04999135695764909
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1185.0,2.0,1.0,51.15,2.0,0.04316455696202531
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,MancyRe,1450.0,3.0,3.0,100.0,3.0,0.06896551724137931
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Sastaat,1859.0,3.0,2.0,121.0,3.0,0.0650887573964497
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,PhestOn,1763.0,3.0,2.0,262.0,2.0,0.14861032331253546
Super built-up  Area,17-Sep,Attibele,2 BHK,Inenshe,900.0,1.0,1.0,25.0,2.0,0.027777777777777776
Super built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,Foghaa ,1305.0,3.0,1.0,60.0,3.0,0.04597701149425287
Built-up  Area,Ready To Move,Srirampuram,3 BHK,GrrvaGr,1200.0,2.0,2.0,100.0,3.0,0.08333333333333333
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,Gontsoo,784.0,1.0,0.0,35.285,1.0,0.0450063775510204
Plot  Area,Immediate Possession,Kasavanhalli,2 BHK,GrrvaGr,5000.0,2.0,2.0,400.0,,0.08
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shthi S,1150.0,2.0,0.0,36.8,2.0,0.032
Built-up  Area,Ready To Move,Whitefield,3 BHK,Agtiaur,1806.0,3.0,3.0,85.0,3.0,0.04706533776301218
Super built-up  Area,Ready To Move,Kudlu,2 BHK,Srrnasa,1027.0,2.0,2.0,42.0,2.0,0.04089581304771178
Super built-up  Area,19-Jul,Uttarahalli,2 BHK,DSera S,1002.0,2.0,1.0,40.08,2.0,0.04
Super built-up  Area,18-Apr,Electronic City Phase II,3 BHK,Sryalan,1220.0,2.0,1.0,36.21,3.0,0.029680327868852458
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SMuilan,1109.0,2.0,1.0,35.22,2.0,0.03175834084761046
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,DSera S,1002.0,2.0,1.0,40.08,2.0,0.04
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,AriosHe,1308.0,2.0,1.0,89.04,2.0,0.06807339449541285
Super built-up  Area,19-Mar,Hennur Road,2 BHK,Puachal,1232.0,2.0,1.0,69.6,2.0,0.05649350649350649
Super built-up  Area,18-Apr,Haralur Road,2 BHK,GrrvaGr,1027.0,2.0,2.0,44.0,2.0,0.042843232716650435
Built-up  Area,Ready To Move,Kalyan nagar,2 BHK,GrrvaGr,1250.0,2.0,2.0,65.0,2.0,0.052
Plot  Area,Ready To Move,2nd Phase JP Nagar,6 Bedroom,GrrvaGr,900.0,6.0,3.0,170.0,6.0,0.18888888888888888
Plot  Area,Ready To Move,KR Puram,4 Bedroom,GrrvaGr,960.0,4.0,2.0,80.0,4.0,0.08333333333333333
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1255.0,2.0,1.0,53.87,2.0,0.04292430278884462
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1434.0,3.0,3.0,84.0,3.0,0.058577405857740586
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,Vabow R,925.0,2.0,2.0,30.0,2.0,0.032432432432432434
Super built-up  Area,19-Dec,Jakkur,3 BHK,Ceezey ,1858.0,3.0,1.0,123.0,3.0,0.06620021528525297
Built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,Vithm R,1205.0,2.0,1.0,70.0,2.0,0.058091286307053944
Plot  Area,18-Jul,Nelamangala,3 Bedroom,V2gesre,1500.0,3.0,2.0,90.0,3.0,0.06
Plot  Area,Ready To Move,Nagawara Junction,3 Bedroom,GrrvaGr,1200.0,3.0,2.0,200.0,3.0,0.16666666666666666
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,GrrvaGr,1020.0,2.0,2.0,48.95,2.0,0.04799019607843138
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,965.0,2.0,1.0,56.0,2.0,0.058031088082901555
Plot  Area,Ready To Move,7th Phase JP Nagar,5 Bedroom,GrrvaGr,1800.0,6.0,3.0,270.0,5.0,0.15
Plot  Area,Ready To Move,Hoysalanagar,6 Bedroom,GrrvaGr,1200.0,4.0,2.0,90.0,6.0,0.075
Super built-up  Area,Ready To Move,Battarahalli,2 BHK,PaontWa,1636.0,2.0,2.0,82.89,2.0,0.05066625916870416
Super built-up  Area,18-Dec,Kundalahalli,3 BHK,Dieldli,1724.0,3.0,1.0,125.0,3.0,0.07250580046403712
Super built-up  Area,18-Oct,Whitefield,2 BHK,Prtates,1216.0,2.0,1.0,67.0,2.0,0.055098684210526314
Super built-up  Area,18-Feb,Yelahanka,1 BHK,Prensya,654.0,1.0,1.0,36.25,1.0,0.05542813455657492
Built-up  Area,Ready To Move,Chikkabanavar,4 Bedroom,GrrvaGr,2460.0,7.0,2.0,80.0,4.0,0.032520325203252036
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,2 BHK,GrrvaGr,1190.0,2.0,2.0,41.0,2.0,0.034453781512605045
Plot  Area,Ready To Move,Tavarekere,7 Bedroom,GrrvaGr,1200.0,5.0,2.0,180.0,7.0,0.15
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1636.0,3.0,2.0,92.0,3.0,0.05623471882640587
Super built-up  Area,18-Dec,Hennur Road,2 BHK,Shxorm ,1195.0,2.0,2.0,73.0,2.0,0.06108786610878661
Super built-up  Area,Ready To Move,Nagavara,3 BHK,Vancyat,2400.0,3.0,3.0,251.0,3.0,0.10458333333333333
Super built-up  Area,Ready To Move,1st Block HRBR Layout,2 BHK,GrrvaGr,1250.0,2.0,1.0,67.0,2.0,0.0536
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Nillsre,1452.0,3.0,2.0,90.0,3.0,0.06198347107438017
Super built-up  Area,19-Dec,Thanisandra,3 BHK,Bhe 2ko,1546.0,3.0,1.0,95.0,3.0,0.06144890038809832
Built-up  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Cetattu,3385.5,6.0,0.0,142.0,4.0,0.041943582927189485
Plot  Area,Ready To Move,Indira Nagar,3 Bedroom,GrrvaGr,1440.0,3.0,1.0,275.0,3.0,0.1909722222222222
Plot  Area,Ready To Move,Naganathapura,2 Bedroom,GrrvaGr,2260.0,3.0,1.0,80.0,2.0,0.035398230088495575
Plot  Area,Ready To Move,Tavarekere,4 Bedroom,GrrvaGr,2700.0,3.0,2.0,90.0,4.0,0.03333333333333333
Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,Suurtni,1475.0,2.0,2.0,171.0,2.0,0.11593220338983051
Built-up  Area,Ready To Move,JP Nagar,4 BHK,Arentra,3000.0,3.0,2.0,150.0,4.0,0.05
Built-up  Area,Ready To Move,KG Halli,1 Bedroom,GrrvaGr,375.0,1.0,0.0,26.0,1.0,0.06933333333333333
Super built-up  Area,Ready To Move,Balagere,2 BHK,Soresea,1007.0,2.0,1.0,66.0,2.0,0.06554121151936444
Plot  Area,Ready To Move,Kanakpura Road,1 Bedroom,GrrvaGr,1276.0,1.0,0.0,125.0,1.0,0.09796238244514106
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,GrrvaGr,1020.0,2.0,3.0,47.0,2.0,0.04607843137254902
Super built-up  Area,Ready To Move,Lavelle Road,2 BHK,GrrvaGr,1000.0,2.0,0.0,150.0,2.0,0.15
Plot  Area,Ready To Move,Varanasi,2 Bedroom,GrrvaGr,800.0,3.0,1.0,59.5,2.0,0.074375
Plot  Area,Ready To Move,Geddalahalli,5 Bedroom,GrrvaGr,1200.0,3.0,2.0,95.0,5.0,0.07916666666666666
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,GrrvaGr,1125.0,2.0,3.0,55.0,2.0,0.04888888888888889
Plot  Area,Ready To Move,Kudlu Gate,9 Bedroom,GrrvaGr,1150.0,9.0,2.0,140.0,9.0,0.12173913043478261
Built-up  Area,Ready To Move,Kada Agrahara,3 BHK,CoaveAt,909.0,2.0,1.0,43.0,3.0,0.047304730473047306
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,GrrvaGr,2850.0,5.0,0.0,240.0,4.0,0.08421052631578947
Super built-up  Area,Ready To Move,Dodsworth Layout,2 BHK,Ciques ,1400.0,2.0,3.0,85.0,2.0,0.060714285714285714
Super built-up  Area,Ready To Move,Kadugodi,2 BHK,GrrvaGr,1152.0,2.0,2.0,61.0,2.0,0.05295138888888889
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,GrrvaGr,958.0,2.0,1.0,34.49,2.0,0.03600208768267223
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SrireSo,1150.0,2.0,2.0,55.0,2.0,0.04782608695652174
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brica E,2990.0,5.0,1.0,173.0,3.0,0.05785953177257525
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Trows M,1310.0,2.0,2.0,85.0,2.0,0.0648854961832061
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,Saageat,1590.0,2.0,2.0,126.0,3.0,0.07924528301886792
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,SoosePr,1645.0,3.0,2.0,110.0,3.0,0.0668693009118541
Built-up  Area,Ready To Move,Veerabhadra Nagar,3 Bedroom,GrrvaGr,1800.0,2.0,2.0,100.0,3.0,0.05555555555555555
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1795.0,3.0,2.0,150.0,3.0,0.08356545961002786
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,GrrvaGr,1100.0,2.0,3.0,35.0,2.0,0.031818181818181815
Super built-up  Area,18-Nov,Thanisandra,1 BHK,Bhe 2ko,777.0,1.0,0.0,38.535,1.0,0.04959459459459459
Super built-up  Area,Ready To Move,Kalkere,2 BHK,Sothin ,925.0,2.0,2.0,70.0,2.0,0.07567567567567568
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,GrrvaGr,1542.14,3.0,3.0,120.0,3.0,0.0778139468530743
Plot  Area,Ready To Move,Konanakunte,4 Bedroom,Prasa W,3746.0,6.0,1.0,375.0,4.0,0.100106780565937
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430.0,2.0,2.0,54.0,3.0,0.03776223776223776
Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,Jaw 2 L,1020.0,2.0,2.0,55.0,2.0,0.05392156862745098
Plot  Area,Ready To Move,Ramamurthy Nagar Extension,4 Bedroom,GrrvaGr,750.0,2.0,1.0,42.0,4.0,0.056
Super built-up  Area,18-May,Electronic City Phase II,2 BHK,Sryalan,1140.0,2.0,1.0,32.92,2.0,0.02887719298245614
Built-up  Area,Ready To Move,Anekal,3 BHK,GrrvaGr,967.0,2.0,1.0,45.0,3.0,0.04653567735263702
Super built-up  Area,19-Jun,Hebbal,4 BHK,Raard B,2470.0,4.0,2.0,203.0,4.0,0.08218623481781377
Built-up  Area,Ready To Move,Maruthi Nagar,2 BHK,PavanSa,850.0,1.0,0.0,35.5,2.0,0.04176470588235294
Super built-up  Area,Ready To Move,Vidhyanagar Cross,2 BHK,GrrvaGr,1100.0,2.0,2.0,32.0,2.0,0.02909090909090909
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1697.0,3.0,2.0,110.0,3.0,0.0648202710665881
Super built-up  Area,Ready To Move,Varthur,2 BHK,GrrvaGr,1250.0,2.0,2.0,47.0,2.0,0.0376
Super built-up  Area,Ready To Move,Gottigere,2 BHK,Pridei ,1120.0,2.0,2.0,50.0,2.0,0.044642857142857144
Plot  Area,Ready To Move,NRI Layout,4 Bedroom,GrrvaGr,1200.0,4.0,0.0,95.0,4.0,0.07916666666666666
Plot  Area,Ready To Move,Hennur Road,5 Bedroom,GrrvaGr,5100.0,6.0,3.0,375.0,5.0,0.07352941176470588
Plot  Area,Ready To Move,7th Block Jayanagar,4 Bedroom,GrrvaGr,2400.0,3.0,2.0,480.0,4.0,0.2
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrrvaGr,1200.0,2.0,1.0,52.0,2.0,0.043333333333333335
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,GrrvaGr,1100.0,2.0,1.0,44.0,2.0,0.04
Super built-up  Area,Ready To Move, Devarachikkanahalli,3 BHK,GrrvaGr,1417.0,2.0,2.0,76.0,3.0,0.053634438955539876
Built-up  Area,Ready To Move,Thanisandra,3 BHK,Bhmesy ,1492.0,3.0,1.0,88.0,3.0,0.058981233243967826
Super built-up  Area,22-Nov,Devanahalli,3 BHK,Sabixtt,1498.0,3.0,3.0,79.15,3.0,0.052837116154873166
Built-up  Area,Ready To Move,Bellari Road,4 BHK,Sohid O,3500.0,2.0,1.0,350.0,4.0,0.1
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Rasom B,1010.0,2.0,1.0,48.27,2.0,0.04779207920792079
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255.0,2.0,2.0,53.5,2.0,0.042629482071713146
Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,1050.0,2.0,1.0,35.0,2.0,0.03333333333333333
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1847.0,3.0,2.0,125.0,3.0,0.0676773145641581
Super built-up  Area,18-May,1st Stage Indira Nagar,2 BHK,GrrvaGr,1200.0,2.0,2.0,55.0,2.0,0.04583333333333333
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrrvaGr,982.0,2.0,2.0,37.28,2.0,0.037963340122199596
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoisoCa,2144.6,4.0,2.0,145.0,3.0,0.06761167583698592
Super built-up  Area,Ready To Move,Kengeri,2 BHK,VBeriav,750.0,2.0,1.0,36.5,2.0,0.048666666666666664
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itvir M,919.0,2.0,2.0,35.0,2.0,0.03808487486398259
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1087.0,2.0,1.0,54.3,2.0,0.0499540018399264
Built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3 BHK,Bustain,1480.0,3.0,2.0,74.0,3.0,0.05
Built-up  Area,Ready To Move,Tindlu,2 BHK,GrrvaGr,1180.0,2.0,2.0,52.0,2.0,0.04406779661016949
Super built-up  Area,Ready To Move,6th Block Jayanagar,3 BHK,GrrvaGr,2100.0,4.0,2.0,255.0,3.0,0.12142857142857143
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsan,1221.0,3.0,2.0,65.0,3.0,0.05323505323505324
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,GrrvaGr,1194.0,2.0,2.0,46.0,2.0,0.038525963149078725
Built-up  Area,Ready To Move,Thanisandra,3 BHK,MSureRR,2072.0,3.0,2.0,122.0,3.0,0.05888030888030888
Built-up  Area,18-Dec,Whitefield,3 BHK,GrrvaGr,1600.0,3.0,2.0,69.0,3.0,0.043125
Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,GrrvaGr,2200.0,3.0,2.0,98.0,3.0,0.04454545454545455
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640.0,3.0,3.0,220.0,3.0,0.13414634146341464
Super built-up  Area,Ready To Move,Kaikondrahalli,2 BHK,Srsica ,1253.0,2.0,2.0,81.5,2.0,0.0650438946528332
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Koagati,1061.0,2.0,1.0,54.92,2.0,0.05176248821866164
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,GrrvaGr,1950.0,3.0,2.0,115.0,3.0,0.05897435897435897
Built-up  Area,Ready To Move,Marathahalli,2 BHK,Suvals ,1250.0,2.0,2.0,68.0,2.0,0.0544
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,MItatHa,1585.0,2.0,3.0,80.0,3.0,0.050473186119873815
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1452.0,3.0,3.0,60.98,3.0,0.04199724517906336
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,Prncy R,1015.0,2.0,2.0,37.0,2.0,0.03645320197044335
Super built-up  Area,19-Aug,Begur Road,4 BHK,Pruthg ,2464.5,6.0,0.0,118.0,4.0,0.04787989450192737
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,GrrvaGr,1125.0,2.0,2.0,56.8,2.0,0.05048888888888889
Super built-up  Area,18-May,Electronic City Phase II,2 BHK,MJtroty,1116.0,2.0,2.0,40.0,2.0,0.035842293906810034
Built-up  Area,Ready To Move,Kadarenahalli,1 Bedroom,GrrvaGr,400.0,1.0,0.0,35.0,1.0,0.0875
Super built-up  Area,Ready To Move,Kasavanhalli,4 BHK,Vaidsi ,4000.0,4.0,2.0,325.0,4.0,0.08125
Super built-up  Area,Ready To Move,Hebbal,4 BHK,RMudeat,3900.0,4.0,2.0,410.0,4.0,0.10512820512820513
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Sastaat,1300.0,2.0,2.0,100.0,2.0,0.07692307692307693
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1419.0,2.0,1.0,60.42,2.0,0.042579281183932345
Super built-up  Area,Ready To Move,Punappa Layout,3 BHK,DSionhe,1310.0,2.0,1.0,55.0,3.0,0.04198473282442748
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072.0,4.0,2.0,152.0,3.0,0.07335907335907337
Built-up  Area,Ready To Move,Kaggadasapura,2 BHK,KKersow,1240.0,2.0,1.0,58.58,2.0,0.04724193548387096
Built-up  Area,Ready To Move,Chamrajpet,3 BHK,GrrvaGr,1565.0,3.0,2.0,98.91,3.0,0.06320127795527156
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1820.0,3.0,2.0,89.0,3.0,0.0489010989010989
Plot  Area,Ready To Move,Gubbalala,3 Bedroom,GrrvaGr,2500.0,3.0,1.0,88.0,3.0,0.0352
Plot  Area,Ready To Move,KR Puram,5 Bedroom,Skdia A,3657.0,5.0,2.0,310.0,5.0,0.0847689362865737
Super built-up  Area,Ready To Move,Hosa Road,2 BHK,GrrvaGr,1245.0,2.0,1.0,62.0,2.0,0.04979919678714859
Super built-up  Area,Ready To Move,GM Palaya,3 BHK,MSuntra,1315.0,3.0,1.0,65.0,3.0,0.049429657794676805
Super built-up  Area,Ready To Move,Kenchenahalli,3 BHK,Unateit,1410.0,2.0,2.0,73.0,3.0,0.05177304964539007
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Indesve,1375.0,2.0,1.0,60.0,2.0,0.04363636363636364
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Sastaat,1299.0,2.0,2.0,95.0,2.0,0.0731331793687452
Super built-up  Area,Ready To Move,Pampa Extension,2 BHK,Pancy R,993.0,2.0,3.0,45.5,2.0,0.04582074521651561
Plot  Area,Ready To Move,Bommasandra Industrial Area,2 Bedroom,GrrvaGr,1200.0,3.0,0.0,45.0,2.0,0.0375
Super built-up  Area,Ready To Move,Lavelle Road,2 BHK,GrrvaGr,985.0,2.0,1.0,156.0,2.0,0.15837563451776648
Built-up  Area,Ready To Move,4th Block Koramangala,4 Bedroom,GrrvaGr,2400.0,5.0,3.0,180.0,4.0,0.075
Super built-up  Area,18-Nov,Hebbal,3 BHK,Magiaya,1255.0,2.0,1.0,95.0,3.0,0.07569721115537849
Super built-up  Area,22-Jun,Hoodi,3 BHK,GoAirej,1655.0,3.0,2.0,131.0,3.0,0.07915407854984895
Super built-up  Area,18-Dec,Whitefield,4 BHK,Prtates,2830.0,5.0,3.0,190.0,4.0,0.06713780918727916
Super built-up  Area,Ready To Move, Sector 1 HSR Layout,1 BHK,GrrvaGr,6000.0,1.0,1.0,276.0,1.0,0.046
Built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,550.0,1.0,1.0,15.0,2.0,0.02727272727272727
Super built-up  Area,Ready To Move,Balaji Gardens Layout,1 BHK,GrrvaGr,825.0,2.0,1.0,40.0,1.0,0.048484848484848485
Super built-up  Area,20-Aug,Begur Road,3 BHK,Pruthg ,1634.0,3.0,1.0,111.0,3.0,0.06793145654834762
Plot  Area,Ready To Move,Kogilu,8 Bedroom,GrrvaGr,1200.0,6.0,3.0,105.0,8.0,0.0875
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,GrrvaGr,1222.0,2.0,2.0,80.0,2.0,0.06546644844517185
Super built-up  Area,Ready To Move,Gottigere,3 BHK,Pridei ,1500.0,3.0,2.0,63.0,3.0,0.042
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,GrrvaGr,1890.0,4.0,2.0,100.0,3.0,0.05291005291005291
Built-up  Area,Ready To Move,Hegde Nagar,4 Bedroom,Sotosty,3750.0,6.0,2.0,375.0,4.0,0.1
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,GrrvaGr,850.0,1.0,1.0,39.5,2.0,0.04647058823529412
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veales ,1295.0,2.0,3.0,78.5,2.0,0.06061776061776062
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,DSndsod,1320.0,2.0,1.0,100.0,2.0,0.07575757575757576
Built-up  Area,Ready To Move,ISRO Layout,4 Bedroom,GrrvaGr,950.0,3.0,3.0,179.0,4.0,0.18842105263157893
Plot  Area,Ready To Move,Hebbal,4 Bedroom,GrrvaGr,1200.0,4.0,2.0,225.0,4.0,0.1875
Built-up  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,GrrvaGr,3000.0,3.0,3.0,170.0,4.0,0.056666666666666664
Built-up  Area,Ready To Move,Harlur,2 BHK,GrrvaGr,1197.0,2.0,1.0,82.0,2.0,0.06850459482038429
Super built-up  Area,Ready To Move,Hoysalanagar,3 BHK,GrrvaGr,1320.0,2.0,3.0,60.0,3.0,0.045454545454545456
Plot  Area,Ready To Move,Billekahalli,5 Bedroom,GrrvaGr,1180.0,5.0,2.0,98.5,5.0,0.08347457627118644
Super built-up  Area,20-Dec,Whitefield,1 BHK,Oreldhi,840.0,1.0,1.0,57.6,1.0,0.06857142857142857
Super built-up  Area,20-Dec,Whitefield,1 BHK,Somns T,640.0,1.0,0.0,19.83,1.0,0.030984374999999998
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693.0,3.0,1.0,71.38,3.0,0.042161842882457175
Super built-up  Area,Ready To Move,Kodihalli,2 BHK,GrrvaGr,1000.0,2.0,1.0,62.0,2.0,0.062
Built-up  Area,Ready To Move,Babusapalaya,2 BHK,AReenui,1305.0,2.0,1.0,70.0,2.0,0.05363984674329502
Built-up  Area,Ready To Move,Kodichikkanahalli,1 BHK,Jae 1ke,450.0,1.0,1.0,18.0,1.0,0.04
